start,end,class_name,learning_plan,start_time,timezone,city,state,trainer,registration_url
"2026-10-07","2026-10-09","Agile Product Management","","09:00:00","Eastern Daylight Time - New York","New York","New York","Deadra Stevenson","https://www.agile36.com/courses/agile-product-management"
"2026-10-08","2026-10-09","Lean Portfolio Management","","09:00:00","Eastern Daylight Time - New York","New York","New York","Joseph Puoci","https://www.agile36.com/safe-lean-portfolio-management-training"
"2026-10-08","2026-10-09","SAFe Product Owner/Product Manager","","09:00:00","Eastern Daylight Time - New York","New York","New York","Martina Svoboda","https://www.agile36.com/safe-product-owner-product-manager-course"
"2026-10-08","2026-10-09","SAFe Scrum Master","","09:00:00","Eastern Daylight Time - New York","New York","New York","Marcus Ball","https://www.agile36.com/safe-scrum-master-course"
"2026-10-10","2026-10-11","Lean Portfolio Management","","09:00:00","Eastern Daylight Time - New York","New York","New York","Deadra Stevenson","https://www.agile36.com/safe-lean-portfolio-management-training"
"2026-10-10","2026-10-11","SAFe for Teams","","09:00:00","Eastern Daylight Time - New York","New York","New York","Marcus Ball","https://www.agile36.com/safe-for-teams-course"
"2026-10-10","2026-10-11","SAFe Product Owner/Product Manager","","09:00:00","Eastern Daylight Time - New York","New York","New York","Martina Svoboda","https://www.agile36.com/safe-product-owner-product-manager-course"
"2026-10-10","2026-10-11","SAFe Scrum Master","","09:00:00","Eastern Daylight Time - New York","New York","New York","Joseph Puoci","https://www.agile36.com/safe-scrum-master-course"
"2026-10-12","2026-10-13","Lean Portfolio Management","","09:00:00","Eastern Daylight Time - New York","New York","New York","Deadra Stevenson","https://www.agile36.com/safe-lean-portfolio-management-training"
"2026-10-12","2026-10-13","SAFe Advanced Scrum Master","","09:00:00","Eastern Daylight Time - New York","New York","New York","Joseph Puoci","https://www.agile36.com/safe-advanced-scrum-master-certification-course"
"2026-10-12","2026-10-13","SAFe Product Owner/Product Manager","","09:00:00","Eastern Daylight Time - New York","New York","New York","Martina Svoboda","https://www.agile36.com/safe-product-owner-product-manager-course"
"2026-10-12","2026-10-13","SAFe Scrum Master","","09:00:00","Eastern Daylight Time - New York","New York","New York","Marcus Ball","https://www.agile36.com/safe-scrum-master-course"
"2026-10-14","2026-10-16","Agile Product Management","","09:00:00","Eastern Daylight Time - New York","New York","New York","Joseph Puoci","https://www.agile36.com/courses/agile-product-management"
"2026-10-15","2026-10-16","Lean Portfolio Management","","09:00:00","Eastern Daylight Time - New York","New York","New York","Deadra Stevenson","https://www.agile36.com/safe-lean-portfolio-management-training"
"2026-10-15","2026-10-16","SAFe Advanced Scrum Master","","09:00:00","Eastern Daylight Time - New York","New York","New York","Marcus Ball","https://www.agile36.com/safe-advanced-scrum-master-certification-course"
